variavel: Total das Receitas;;;;;;;;;
caminho: /Finanças Públicas/Tributos Federais/Total das Receitas;;;;;;;;;
fonte: Ministério da Fazenda - Secretaria da Receita Federal. ;;;;;;;;;
agrupador: Município;;;;;;;;;
descricao: ;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$)
Gentil;4308854;-28,4316;-52,0337;1491315;1828111;2539143;3053605;3083735;3054136
Getúlio Vargas;4308904;-27,8911;-52,22939999999;29674186;39252878;48343023;47124591;51349296;59627570
Giruá;4309001;-28,02969999999;-54,3517;16363721;18546452;25196627;27463812;28439073;29813529
Glorinha;4309050;-29,87979999999;-50,7734;37170082;47885793;55753499;55506754;53203884;52637893
Gramado;4309100;-29,3733;-50,87619999999;120488315;146490246;223722824;242821704;264828009;292712382
Gramado dos Loureiros;4309126;-27,4429;-52,9149;454105;603567;790637;771622;1000380;1122687
Gramado Xavier;4309159;-29,2706;-52,5795;1241565;1731745;1486739;1533640;1834667;1888136
Gravataí;4309209;-29,94129999999;-50,98689999999;1118567534;1286396045;1110091257;1533281154;1660998142;1495257673
Guabiju;4309258;-28,5421;-51,6948;1398237;1480095;2281217;2612163;2682914;2779529
Guaíba;4309308;-30,10859999999;-51,3233;903411927;936632327;1108891212;1281578285;1431113614;1450641632
Guaporé;4309407;-28,8399;-51,88949999999;44370439;51998540;74529745;87075889;94590537;99922503
Guarani das Missões;4309506;-28,1491;-54,56289999999;8787632;9848312;12671889;14925126;15386752;15912043
Harmonia;4309555;-29,5456;-51,4185;5153806;6483306;9333796;9949084;11949071;14117646
Herval;4307104;-32,024;-53,39439999999;2205489;2353151;3384611;3854307;4634877;5534661
Herveiras;4309571;-29,4552;-52,65529999999;1005461;1193963;1682654;1958522;2115242;2139735
Horizontina;4309605;-27,6282;-54,3053;231090745;323702928;285656928;603598646;611205420;334883099
Hulha Negra;4309654;-31,4067;-53,8667;4306115;4562885;5346285;38674294;12953929;17258485
Humaitá;4309704;-27,56909999999;-53,96949999999;3408364;9420583;24154077;11002835;7060665;8252630
Ibarama;4309753;-29,4203;-53,1295;1825701;2022947;2697955;3358022;3543244;3983222
Ibiaçá;4309803;-28,0566;-51,8599;4136748;8570900;11483548;15019225;12768772;11451063
Ibiraiaras;4309902;-28,37409999999;-51,6377;8722645;11539528;15183068;17972095;19096917;22547497
Ibirapuitã;4309951;-28,6247;-52,51579999999;649647;1203173;1954799;2853967;2653552;3034735
Ibirubá;4310009;-28,63019999999;-53,0961;48473199;61343169;80508579;99214226;99726305;94446724
Igrejinha;4310108;-29,56929999999;-50,79189999999;117971173;146514722;179613539;202823209;188329895;175494736
Ijuí;4310207;-28,3881;-53,92;136085412;169266180;228828282;254696610;287069462;292047546
Ilópolis;4310306;-28,9282;-52,12579999999;2968877;3299064;5019820;6854463;8234194;8625877
Imbé;4310330;-29,9753;-50,1281;8067937;10312517;22054400;27395612;32720817;34286305
Imigrante;4310363;-29,3508;-51,7747;22796463;26943496;31883313;36416920;33040027;22769952
Independência;4310405;-27,8354;-54,1886;4417346;3146958;4801635;5245177;5867109;6461105
Inhacorá;4310413;-27,8752;-54,015;954696;1112961;2219710;2064006;2325329;2657563
Ipê;4310439;-28,8171;-51,28589999999;4420486;5387889;7727067;9110771;9044953;9442010
Ipiranga do Sul;4310462;-27,9404;-52,4271;1644731;1953941;3255887;3579097;4080424;4193289
Iraí;4310504;-27,1951;-53,2543;2953047;3009825;4644431;5324255;5952889;5935058
Itaara;4310538;-29,60129999999;-53,7725;3903531;4289415;5742271;5965194;6335622;6389843
Itacurubi;4310553;-28,7913;-55,2447;2199009;2259311;2599876;2956007;2382925;3027311
Itapuca;4310579;-28,7768;-52,1693;887273;896827;1145810;1315267;1410809;1593747
Itaqui;4310603;-29,131;-56,55149999999;34109096;33928253;45661374;59270419;65758966;68179024
Itati;4310652;-29,48832;-50,11357999999;1089609;1337574;1613211;1747203;2149742;2283472
Itatiba do Sul;4310702;-27,38459999999;-52,4538;1422327;1137479;1853638;1791375;2176248;2381970
Ivorá;4310751;-29,52319999999;-53,5842;1619410;1768627;2033199;1338041;1099304;1149160
Ivoti;4310801;-29,59949999999;-51,1533;60338529;70798094;88672680;96521462;102358251;111183644
Jaboticaba;4310850;-27,63469999999;-53,2762;1686471;1872673;2487987;2937073;3489441;3667036
Jacuizinho;4310876;-29,02199999999;-53,05369999999;1366656;1530334;1932730;2120304;2603608;2772270
Jacutinga;4310900;-27,72909999999;-52,53719999999;2996865;3680027;5215673;6228714;5557846;6143509
Jaguarão;4311007;-32,5604;-53,377;16192008;19561886;27161967;34392087;39774731;40045628
Jaguari;4311106;-29,4936;-54,703;5860280;6787074;9022866;10690640;11744171;12497815
Jaquirana;4311122;-28,8811;-50,3637;2651699;2890524;4017840;4060172;4264813;4586614
Jari;4311130;-29,2922;-54,2237;1656876;1338632;1253482;1266913;1719515;1748865
Jóia;4311155;-28,6435;-54,1141;3765504;4621992;5078460;6927245;9096750;8154073
Júlio de Castilhos;4311205;-29,2298;-53,67719999999;16814468;17694810;22676192;27255303;30331312;33383275
Lagoa Bonita do Sul;4311239;-29,48819999999;-53,0138;1174994;1247765;1453713;1681385;1994035;1836254
Lagoa dos Três Cantos;4311270;-28,56759999999;-52,8618;1038813;1248561;1839007;2091664;2481098;2889256
Lagoa Vermelha;4311304;-28,20929999999;-51,52479999999;37839393;47844948;58821853;65497288;70442652;70683782
Lagoão;4311254;-29,2348;-52,7997;742970;923797;1554107;2012680;2059088;2085228
Lajeado;4311403;-29,45909999999;-51,96439999999;305652849;367099462;496722252;518267760;593612110;601664187
Lajeado do Bugre;4311429;-27,69129999999;-53,1818;983024;878046;1119113;1470678;1989358;1714503
Lavras do Sul;4311502;-30,80709999999;-53,89309999999;3609114;4264465;5339745;6058000;6467505;6751991
