variavel: Total;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Total;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (MWh);2011 (MWh);2012 (MWh);2013 (MWh);2014 (MWh);2015 (MWh);2016 (MWh);2017 (MWh);2018 (MWh)
Herveiras;4309571;-29,4552;-52,65529999999;2303;2377;2473;2603;2768;2657;2524;2734;2741
Horizontina;4309605;-27,6282;-54,3053;29221;53573;52199;60386;62808;55516;58510;62362;64764
Hulha Negra;4309654;-31,4067;-53,8667;28744;20189;34954;32947;32995;33910;22156;25283;26338
Humaitá;4309704;-27,56909999999;-53,96949999999;7682;7770;7793;8021;8700;8821;8904;9665;9815
Ibarama;4309753;-29,4203;-53,1295;4405;4653;4727;5069;5598;5347;5177;5777;5955
Ibiraiaras;4309902;-28,37409999999;-51,6377;9049;9286;9594;10019;10551;10152;10891;11040;10766
Ibirapuitã;4309951;-28,6247;-52,51579999999;4763;5033;5346;5571;5921;5899;5998;6272;6433
Ibirubá;4310009;-28,63019999999;-53,0961;52096;58722;64578;76780;86716;80568;84469;90752;91900
Igrejinha;4310108;-29,56929999999;-50,79189999999;62709;84824;91785;98429;103777;98005;95946;100601;100861
Ijuí;4310207;-28,3881;-53,92;107932;187511;202342;209831;251049;279129;298032;291186;308770
Ilópolis;4310306;-28,9282;-52,12579999999;5441;5696;5990;6192;6568;6573;6598;6896;7172
Imbé;4310330;-29,9753;-50,1281;47699;50044;51584;52498;58651;58059;57211;59287;57967
Imigrante;4310363;-29,3508;-51,7747;17901;19267;19475;26082;22985;18764;21137;23405;23815
Independência;4310405;-27,8354;-54,1886;5194;5579;10257;6662;7526;6225;7407;14986;18879
Inhacorá;4310413;-27,8752;-54,015;1606;3036;3278;3265;3741;3394;3496;3680;3818
Ipê;4310439;-28,8171;-51,28589999999;10588;10849;12169;11925;12736;12937;12968;13708;14087
Ipiranga do Sul;4310462;-27,9404;-52,4271;2086;2195;2314;2359;2575;2546;2587;2547;2580
Iraí;4310504;-27,1951;-53,2543;6995;7150;7508;7783;8509;8257;8720;9122;9427
Itaara;4310538;-29,60129999999;-53,7725;9059;9146;9427;9875;10834;10148;10767;10695;10878
Itacurubi;4310553;-28,7913;-55,2447;5550;6050;6859;5352;5341;4899;5005;4239;5729
