variavel: Total;;;;;;;;
caminho: /Educação/Ensino Fundamental/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Riozinho;4315750;-29,63899999999;-50,44879999999;60;74;91;50;55
Roca Sales;4315800;-29,28839999999;-51,8658;110;101;106;104;89
Rodeio Bonito;4315909;-27,4742;-53,1706;75;61;68;87;59
Rolador;4315958;-28,25767;-54,81864;36;34;40;34;36
Rolante;4316006;-29,6462;-50,58189999999;260;270;262;216;250
Ronda Alta;4316105;-27,7758;-52,80559999999;99;96;102;131;115
Rondinha;4316204;-27,83149999999;-52,90809999999;82;77;76;70;64
Roque Gonzales;4316303;-28,1297;-55,0266;106;94;81;95;86
Rosário do Sul;4316402;-30,2515;-54,9221;390;490;417;513;474
Sagrada Família;4316428;-27,7085;-53,1351;34;43;32;33;34
Saldanha Marinho;4316436;-28,3941;-53,097;23;41;46;30;32
Salto do Jacuí;4316451;-29,09509999999;-53,21329999999;145;129;124;118;107
Salvador das Missões;4316477;-28,1233;-54,83729999999;34;41;35;41;15
Salvador do Sul;4316501;-29,4386;-51,5077;103;91;77;74;70
Sananduva;4316600;-27,94699999999;-51,80789999999;161;167;162;165;152
Santa Bárbara do Sul;4316709;-28,3653;-53,25099999999;145;118;126;132;158
Santa Cecília do Sul;4316733;-28,1537;-51,9296;26;20;16;18;16
Santa Clara do Sul;4316758;-29,47469999999;-52,08429999999;72;57;74;57;58
Santa Cruz do Sul;4316808;-29,722;-52,4343;1297;1191;1235;1274;1344
Santa Margarida do Sul;4316972;-30,32959999999;-54,08229999999;31;6;29;18;21
Santa Maria;4316907;-29,6868;-53,81499999999;2778;2669;2669;2770;2711
